"ind","PH","FT","Sub-population"
"Hv-2011S-3-00427",50.5315921719367,69.7294529155174,"HvDRR04"
"Hv-2011S-3-00429",47.1484544134813,67.6539796847126,"HvDRR04"
"Hv-2011S-3-00430",61.4817300785649,70.8373136170413,"HvDRR04"
"Hv-2011S-3-00431",56.4817300785648,71.3906722326949,"HvDRR04"
"Hv-2011S-3-00432",71.3341145984729,63.1920706226281,"HvDRR04"
"Hv-2011S-3-00433",61.8941804854669,64.76017392583,"HvDRR04"
"Hv-2011S-3-00434",59.4817300785648,79.890672232695,"HvDRR04"
"Hv-2011S-3-00435",67.9689937089901,78.1800752285085,"HvDRR04"
"Hv-2011S-3-00438",62.1484544134813,75.4087670303959,"HvDRR04"
"Hv-2011S-3-00439",61.1999999456577,72.9873949980998,"HvDRR04"
"Hv-2011S-3-00440",50.8565331526715,67.0408881414212,"HvDRR04"
"Hv-2011S-3-00442",58.6441804854669,67.5818540251398,"HvDRR04"
"Hv-2011S-3-00443",61.5999999456577,65.5025037705565,"HvDRR04"
"Hv-2011S-3-00444",53.498827966435,78.7404563239687,"HvDRR04"
"Hv-2011S-3-00445",61.7121146972546,63.2948160732414,"HvDRR04"
"Hv-2011S-3-00446",60.2901411158718,77.2304108403667,"HvDRR04"
"Hv-2011S-3-00447",63.5999999456577,75.6154566760925,"HvDRR04"
"Hv-2011S-3-00448",71.5315921719368,66.0791670479632,"HvDRR04"
"Hv-2011S-3-00449",60.3941804854669,62.3318540251398,"HvDRR04"
"Hv-2011S-3-00451",69.1999999456577,74.500456204736,"HvDRR04"
"Hv-2011S-3-00452",57.5999999456577,71.0154566760925,"HvDRR04"
"Hv-2011S-3-00453",54.4817300785649,63.4817580614857,"HvDRR04"
